Client ID,FL Round,Training Time,JSD,Communication Time,Total Time of FL Round,# of CPU,CPU Usage (%),RAM Usage (%),Model Type,Data Distr. Type,Dataset,Train Loss,Train Accuracy,Train F1,Train MAE,Val Loss,Val Accuracy,Val F1,Val MAE
Client 3,18,25.39,0.11,23.54,152.66,2,111,19,CNN 16k,non-IID,CIFAR-10,1.06,0.6284,0.5377,1.1882,1.94,0.4544,0.408,1.9812
Client 1,19,26.31,0.16,28.03,,2,111,19,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 2,19,25.66,0.07,27.75,,2,111,19,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 3,19,25.67,0.22,26.1,160.55,2,111,19,CNN 16k,non-IID,CIFAR-10,1.01,0.6421,0.5296,1.2327,2.01,0.4373,0.4016,2.0746
Client 1,20,25.3,0.21,24.84,,2,111,19,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 2,20,24.85,0.17,24.82,,2,111,19,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 3,20,25.91,0.17,24.95,,2,111,19,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 4,20,18.58,0.07,16.8,,1,100,19,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 5,20,17.32,0.13,18.04,,1,100,19,CNN 16k,non-IID,CIFAR-10,,,,,,,,
Client 6,20,18.21,0.15,19.67,152.97,1,100,20,CNN 16k,non-IID,CIFAR-10,0.92,0.6654,0.5274,1.2964,2.19,0.4364,0.3796,1.963
